Get Commands Atem Television ----------------------
|30|14|53|ab|00|00|00|00|00|18|00|00
-REP-|0d|78|80|40|00|00|00|00|00|00|00|01
|0d|8c|80|40|00|00|00|00|00|00|00|02
|0d|8c|80|40|00|00|00|00|00|00|00|03
|0d|88|80|40|00|00|00|00|00|00|00|04
|0c|58|80|40|00|00|00|00|00|00|00|05
|08|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|08|0c|80|40|00|00|00|00|00|00|00|07
|2d|78|80|40|00|00|00|00|00|00|00|01
|2d|8c|80|40|00|00|00|00|00|00|00|02
|2d|8c|80|40|00|00|00|00|00|00|00|03
|2d|88|80|40|00|00|00|00|00|00|00|04
|2c|58|80|40|00|00|00|00|00|00|00|05
|28|0c|80|40|00|00|00|00|00|00|00|06
|30|14|00|40|00|00|00|00|00|00|00|00
-REP-No Packet in buffer
END Commands Atem Television ----------------------

Get Commands Atem Television ----------------------
|30|14|53|ab|00|00|00|00|00|18|00|00
-REP-|0d|78|80|49|00|00|00|00|00|00|00|01
|0d|8c|80|49|00|00|00|00|00|00|00|02
|0d|8c|80|49|00|00|00|00|00|00|00|03
|0d|88|80|49|00|00|00|00|00|00|00|04
|0c|58|80|49|00|00|00|00|00|00|00|05
